Institution,Conference,2014,2015,2016,2017,2018,2019
Illinois,Big Ten,290842,289397,319505,276003,216907,256110
Indiana,Big Ten,249941,310195,301190,263715,286753,247463
Iowa,Big Ten,472584,441992,487591,464357,476302,458897
Maryland,Big Ten,281884,310389,237690,237859,201562,226871
Michigan,Big Ten,734364,771174,883741,669534,775156,780215
Michigan St.,Big Ten,522765,522628,522666,507398,508088,474731
Minnesota,Big Ten,335056,366484,306697,310506,265407,323330
Nebraska,Big Ten,638744,629983,631402,628583,623240,625436
Northwestern,Big Ten,270292,233560,243586,250969,307112,264149
Ohio St.,Big Ten,744075,750705,750944,752464,713630,723679
Penn St.,Big Ten,711358,698590,701800,746946,738396,739747
Purdue,Big Ten,246880,262559,241158,287303,357839,378147
Rutgers,Big Ten,303791,334061,313629,278245,264596,210573
Wisconsin,Big Ten,556642,546099,476144,551766,540072,535301