school,graduation_rate
Indiana University-Bloomington,80
Michigan State University,81
Northwestern University,95
Ohio State University-Main Campus,87
Pennsylvania State University-Main Campus,
Purdue University-Main Campus,83
Rutgers University-New Brunswick,84
University of Illinois Urbana-Champaign,86
University of Iowa,72
University of Maryland-College Park,87
University of Michigan-Ann Arbor,93
University of Minnesota-Twin Cities,84
University of Nebraska-Lincoln,66
University of Wisconsin-Madison,88